
---------- Begin Simulation Statistics ----------
simSeconds                                   0.051056                       # Number of seconds simulated (Second)
simTicks                                  51055940500                       # Number of ticks simulated (Tick)
finalTick                                 51055940500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1127.89                       # Real time elapsed on the host (Second)
hostTickRate                                 45266642                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4377108                       # Number of bytes of host memory used (Byte)
simInsts                                    224920392                       # Number of instructions simulated (Count)
simOps                                      228691710                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   199416                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     202760                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        102111891                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.453990                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.202691                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       273862174                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      228                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      262485859                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 110685                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             45170691                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          31392396                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  99                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           101960116                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.574397                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.255686                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  24036859     23.57%     23.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  15234131     14.94%     38.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  18808676     18.45%     56.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10055895      9.86%     66.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12694292     12.45%     79.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8827124      8.66%     87.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5218421      5.12%     93.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3434367      3.37%     96.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3650351      3.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             101960116                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1737370     25.93%     25.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  48759      0.73%     26.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     26.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     26.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     26.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     26.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                  561      0.01%     26.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc               120      0.00%     26.67% # attempts to use FU when none available (Count)
