34801589 15268068 12556097
265210531 31447454 7323996
251360552 217375136 10688650
53292642 161447095 344799308
289872906 275422942 129898730
308157070 276102709 181441878
183501628 159807250 411854599
175054900 456850740 131615954
308405842 423836083 78208571
112652406 304266922 447800089
392802992 84025026 407068451
356002323 244931356 403830748
261135161 510423628 208707466
296294105 549855666 52578815
595099881 158635641 182698292
34435404 606482566 252885738
642832588 129780849 151630404
93617753 631931401 255389823
604348223 351942237 45522124
510714163 206313756 453073294
481059734 435833888 325654911
38362666 639511297 366215284
468441142 227229740 540747489
338627355 481548817 484471441
426663956 62229696 641974925
50821622 348726872 700773280
442537963 649541093 119784466
8383138 568578065 569495982
628436312 510541395 84057526
353696269 744921666 1961801
156917638 766092871 290657060
604403834 384387273 444623517
486842720 168678384 677770731
722245666 356471628 302089262
803410558 287167349 160254613
648118121 565227026 167802336
621458099 606530670 172679196
757396464 469007256 66792978
473716184 157869385 749354522
240121773 590180441 647595235
174795006 774318354 457985432
320894240 849782719 165140217
776378551 486373441 162174306
291167533 510312139 729934939
32890442 436816498 836760889
292329926 500736820 754180316
90386607 801542307 517392323
431409019 136972406 852633341
190809996 944325466 128875829
396925942 241878752 861131488
766398349 507470838 354283714
335997377 829889818 426766764
934687694 271763268 223189109
721626487 692511471 101802655
954915111 85403141 323218038
374229415 470137448 821944654
360400147 888709063 360672508
5720272 694495756 761561370
775616652 195469530 660287660
48654781 434727996 948353494
973570163 151889618 367297642
189904078 376488179 970875443
537592621 850337802 349058297
861564369 630294769 97690075
996105892 338719427 240160633
751068199 137864227 772388717
552513082 528340659 781056719
788090110 478672974 600726124
571984796 526621823 788579172
97302166 867886240 693099522
495537293 918533460 411408829
686842761 570463279 691451853
401698118 986694289 396494818
549863415 999529939 90255524
63295451 590749138 987345028
548646909 971120896 320793205
578145404 617406404 806195393
583598023 768143358 673394404
542376413 541544049 903309171
524434266 587103424 897289585
656202027 132746748 998336520
347401105 598220820 993113536
834108154 876249352 152902001
570302126 705028714 829344118
721859033 992005636 169065249
784463109 755133993 609087960
826583193 806754890 497831575
147736111 819913623 955845380
812389443 222549483 963358921
718807289 449552001 976001157
879875309 762309953 588393881
634368278 596062619 989168943
61577052 897147021 981085709
978068156 859249517 336972931
819898513 913712321 586630241
804835425 651066651 910664501
782294518 626534883 977807436
700283189 901260417 856755684
591171691 967609984 918737097
900287235 933792813 768471638
881138739 966523196 994894550
